user_id,pattern,confidence,p1,p2,p3,p4,m1,m2,m3,e1,e2,e3,r1,r2,total_score,is_mixed_pattern,notes
I001,A,0.900,3,2,2,3,1,3,2,2,2,3,3,2,28,true,"Confidence: 90%"
I002,B,0.700,2,2,1,1,1,2,2,2,2,2,3,2,22,false,"Confidence: 70%"
I003,D,0.900,2,2,2,2,2,3,2,2,1,3,2,2,25,true,"Confidence: 90%"
I004,C,0.900,3,2,2,2,1,2,3,2,1,3,2,3,26,true,"Confidence: 90%"
I005,C,0.900,3,2,3,2,2,2,2,2,1,3,3,3,28,true,"Confidence: 90%"
I006,E,0.900,2,3,3,3,2,2,3,2,3,3,2,3,31,true,"Confidence: 90%"
I007,B,0.500,2,1,2,2,2,1,2,1,2,2,2,2,21,false,"Confidence: 50%"
I008,A,0.700,2,1,1,3,1,2,2,1,2,3,2,3,23,false,"Confidence: 70%"
I009,B,0.300,2,1,1,2,2,2,1,1,1,2,2,2,19,false,"Confidence: 30%"
I010,D,0.700,1,2,1,3,2,3,3,2,1,3,2,3,26,false,"Confidence: 70%"
I011,B,0.700,2,2,1,1,2,2,2,2,1,2,2,3,22,false,"Confidence: 70%"
I012,C,0.300,2,2,1,2,1,2,2,2,1,2,1,2,20,false,"Confidence: 30%"
I013,A,0.850,3,3,3,3,2,3,3,3,3,3,3,3,35,false,"Confidence: 85%"
I014,C,0.300,1,2,1,1,1,0,2,1,1,2,1,3,16,false,"Confidence: 30%"
I015,C,0.500,1,2,2,1,0,2,2,1,2,2,1,3,19,false,"Confidence: 50%"
I016,D,0.900,3,2,3,2,2,3,2,2,2,3,2,2,28,false,"Confidence: 90%"
I017,D,0.900,1,2,2,1,0,3,2,2,2,3,1,3,22,false,"Confidence: 90%"
I018,D,0.850,2,3,3,3,0,3,3,3,2,3,2,3,30,false,"Confidence: 85%"
I019,C,0.850,3,3,3,3,2,3,3,2,2,3,3,3,33,false,"Confidence: 85%"
I020,D,0.850,2,2,3,1,2,3,2,3,2,3,3,3,29,false,"Confidence: 85%"
I021,C,0.750,1,2,3,3,1,2,2,3,2,2,2,2,25,false,"Confidence: 75%"
I022,A,0.850,3,3,3,3,2,2,3,3,2,3,2,2,31,false,"Confidence: 85%"
I023,C,0.500,1,2,2,2,0,1,2,2,1,2,1,2,18,false,"Confidence: 50%"
I024,A,0.900,2,3,2,1,0,3,3,3,2,3,1,3,26,false,"Confidence: 90%"
I025,A,0.850,3,3,3,3,1,3,2,3,2,3,2,3,31,false,"Confidence: 85%"
I026,C,0.500,2,2,1,1,0,1,2,2,1,2,2,2,18,false,"Confidence: 50%"
I027,A,0.850,2,2,3,3,2,3,2,3,3,3,2,3,31,false,"Confidence: 85%"
I028,C,0.600,1,1,1,2,1,2,1,2,2,3,1,3,20,false,"Confidence: 60%"
I029,B,0.900,1,1,2,1,2,2,1,2,3,3,2,3,23,false,"Confidence: 90%"
I030,F,0.600,1,2,2,1,1,1,1,2,0,1,1,2,15,false,"Confidence: 60%"
I031,A,0.850,3,3,2,3,2,3,2,3,3,3,2,3,32,false,"Confidence: 85%"
I032,C,0.750,2,2,2,1,2,2,1,2,2,2,1,2,21,false,"Confidence: 75%"
I033,C,0.750,2,2,1,2,1,2,2,3,2,3,1,3,24,false,"Confidence: 75%"
I034,A,0.850,3,3,3,3,2,3,2,3,3,3,2,3,33,false,"Confidence: 85%"
I035,C,0.750,2,2,2,1,2,2,1,2,2,2,2,2,22,false,"Confidence: 75%"
I036,C,0.750,2,2,2,1,2,2,1,2,2,2,2,2,22,false,"Confidence: 75%"
I037,C,0.750,1,2,1,1,2,3,2,2,2,3,2,2,23,false,"Confidence: 75%"
I038,D,0.850,2,3,3,3,2,2,3,2,3,3,3,3,32,false,"Confidence: 85%"
I039,C,0.900,1,2,2,1,2,3,1,2,2,2,2,3,23,false,"Confidence: 90%"
I040,C,0.900,2,2,2,1,2,2,1,2,2,3,2,3,24,false,"Confidence: 90%"
I041,D,0.850,3,2,3,2,2,3,2,3,3,3,3,3,32,false,"Confidence: 85%"
I042,C,0.750,2,2,2,1,2,2,1,2,2,2,2,3,23,false,"Confidence: 75%"
I043,C,0.850,3,2,3,1,2,3,2,3,2,3,2,2,28,false,"Confidence: 85%"
I044,F,0.600,1,2,2,2,1,1,2,2,0,2,1,2,18,false,"Confidence: 60%"
I045,A,0.850,3,2,3,3,2,3,2,3,2,3,2,3,31,false,"Confidence: 85%"
I046,D,0.850,2,2,2,2,2,3,2,3,3,2,3,3,29,false,"Confidence: 85%"
I047,C,0.750,2,2,2,2,2,3,2,2,3,2,3,3,28,false,"Confidence: 75%"
I048,C,0.750,2,2,2,1,2,2,2,2,2,2,2,3,24,false,"Confidence: 75%"
I049,C,0.750,3,2,1,2,2,2,2,2,2,2,2,2,24,false,"Confidence: 75%"
A_SYS_01,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_02,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_03,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_04,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_05,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_06,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_07,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_08,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_09,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_10,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
B_ITER_01,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_02,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_03,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_04,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_05,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_06,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_07,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_08,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_09,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_10,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
C_ADAPT_01,C,0.720,2,2,2,1,2,2,3,2,2,2,2,2,24,false,"Context-Adaptive User: Adapts AI usage strategy to task requirements, different approaches for different types of work, considers context in AI output evaluation, learns and adapts approach over time, pragmatic balance between efficiency and quality"
C_ADAPT_02,C,0.720,2,2,2,1,2,2,3,2,2,2,2,2,24,false,"Context-Adaptive User: Adapts AI usage strategy to task requirements, different approaches for different types of work, considers context in AI output evaluation, learns and adapts approach over time, pragmatic balance between efficiency and quality"
C_ADAPT_03,C,0.720,2,2,2,1,2,2,3,2,2,2,2,2,24,false,"Context-Adaptive User: Adapts AI usage strategy to task requirements, different approaches for different types of work, considers context in AI output evaluation, learns and adapts approach over time, pragmatic balance between efficiency and quality"
C_ADAPT_04,C,0.720,2,2,2,1,2,2,3,2,2,2,2,2,24,false,"Context-Adaptive User: Adapts AI usage strategy to task requirements, different approaches for different types of work, considers context in AI output evaluation, learns and adapts approach over time, pragmatic balance between efficiency and quality"
C_ADAPT_05,C,0.720,2,2,2,1,2,2,3,2,2,2,2,2,24,false,"Context-Adaptive User: Adapts AI usage strategy to task requirements, different approaches for different types of work, considers context in AI output evaluation, learns and adapts approach over time, pragmatic balance between efficiency and quality"
D_CRIT_01,D,0.750,1,2,2,1,3,3,3,3,2,3,2,1,26,false,"Critical Verifier: Questions every AI output thoroughly, validates against multiple sources, deeply analyzes context before accepting results, skeptical of AI capabilities, focuses on verification rather than planning"
D_CRIT_02,D,0.750,1,2,2,1,3,3,3,3,2,3,2,1,26,false,"Critical Verifier: Questions every AI output thoroughly, validates against multiple sources, deeply analyzes context before accepting results, skeptical of AI capabilities, focuses on verification rather than planning"
D_CRIT_03,D,0.750,1,2,2,1,3,3,3,3,2,3,2,1,26,false,"Critical Verifier: Questions every AI output thoroughly, validates against multiple sources, deeply analyzes context before accepting results, skeptical of AI capabilities, focuses on verification rather than planning"
D_CRIT_04,D,0.750,1,2,2,1,3,3,3,3,2,3,2,1,26,false,"Critical Verifier: Questions every AI output thoroughly, validates against multiple sources, deeply analyzes context before accepting results, skeptical of AI capabilities, focuses on verification rather than planning"
D_CRIT_05,D,0.750,1,2,2,1,3,3,3,3,2,3,2,1,26,false,"Critical Verifier: Questions every AI output thoroughly, validates against multiple sources, deeply analyzes context before accepting results, skeptical of AI capabilities, focuses on verification rather than planning"
E_TEACH_01,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_02,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_03,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_04,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_05,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_06,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_07,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_08,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_09,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
E_TEACH_10,E,0.680,2,2,2,1,2,2,1,2,3,2,2,2,23,false,"Learning-Focused User: Views AI as teaching tool for deepening understanding, actively reflects on AI explanations, uses AI to explore topics rather than just get answers, learns how AI thinks about problems, improves own thinking through AI interactions"
F_LAZY_01,F,0.450,1,2,1,0,1,1,1,1,0,1,0,1,10,false,"Lazy Avoidant: Uses AI passively without reviewing outputs, never reflects on quality or mistakes, accepts whatever AI generates, no learning from experience, treats AI as automatic solution provider"
F_LAZY_02,F,0.450,1,2,1,0,1,1,1,1,0,1,0,1,10,false,"Lazy Avoidant: Uses AI passively without reviewing outputs, never reflects on quality or mistakes, accepts whatever AI generates, no learning from experience, treats AI as automatic solution provider"
F_LAZY_03,F,0.450,1,2,1,0,1,1,1,1,0,1,0,1,10,false,"Lazy Avoidant: Uses AI passively without reviewing outputs, never reflects on quality or mistakes, accepts whatever AI generates, no learning from experience, treats AI as automatic solution provider"
F_LAZY_04,F,0.450,1,2,1,0,1,1,1,1,0,1,0,1,10,false,"Lazy Avoidant: Uses AI passively without reviewing outputs, never reflects on quality or mistakes, accepts whatever AI generates, no learning from experience, treats AI as automatic solution provider"
F_LAZY_05,F,0.450,1,2,1,0,1,1,1,1,0,1,0,1,10,false,"Lazy Avoidant: Uses AI passively without reviewing outputs, never reflects on quality or mistakes, accepts whatever AI generates, no learning from experience, treats AI as automatic solution provider"
F_NAIVE_01,F,0.400,1,1,0,0,0,0,0,1,0,0,0,1,4,false,"Naive Oversimplifier: Believes AI is infallible and always correct, uses for critical decisions without verification, no awareness of AI hallucinations, never reflects on errors, complete blind trust"
F_NAIVE_02,F,0.400,1,1,0,0,0,0,0,1,0,0,0,1,4,false,"Naive Oversimplifier: Believes AI is infallible and always correct, uses for critical decisions without verification, no awareness of AI hallucinations, never reflects on errors, complete blind trust"
F_NAIVE_03,F,0.400,1,1,0,0,0,0,0,1,0,0,0,1,4,false,"Naive Oversimplifier: Believes AI is infallible and always correct, uses for critical decisions without verification, no awareness of AI hallucinations, never reflects on errors, complete blind trust"
F_NAIVE_04,F,0.400,1,1,0,0,0,0,0,1,0,0,0,1,4,false,"Naive Oversimplifier: Believes AI is infallible and always correct, uses for critical decisions without verification, no awareness of AI hallucinations, never reflects on errors, complete blind trust"
F_NAIVE_05,F,0.400,1,1,0,0,0,0,0,1,0,0,0,1,4,false,"Naive Oversimplifier: Believes AI is infallible and always correct, uses for critical decisions without verification, no awareness of AI hallucinations, never reflects on errors, complete blind trust"
F_COST_01,F,0.500,1,2,2,1,1,0,1,1,0,1,0,1,11,false,"Cost-Cutting Sacrificer: Sacrifices quality for cost savings, uses cheapest AI options without quality check, accepts poor outputs to save money, never reflects on reputation damage, willingly cuts corners"
F_COST_02,F,0.500,1,2,2,1,1,0,1,1,0,1,0,1,11,false,"Cost-Cutting Sacrificer: Sacrifices quality for cost savings, uses cheapest AI options without quality check, accepts poor outputs to save money, never reflects on reputation damage, willingly cuts corners"
F_COST_03,F,0.500,1,2,2,1,1,0,1,1,0,1,0,1,11,false,"Cost-Cutting Sacrificer: Sacrifices quality for cost savings, uses cheapest AI options without quality check, accepts poor outputs to save money, never reflects on reputation damage, willingly cuts corners"
F_COST_04,F,0.500,1,2,2,1,1,0,1,1,0,1,0,1,11,false,"Cost-Cutting Sacrificer: Sacrifices quality for cost savings, uses cheapest AI options without quality check, accepts poor outputs to save money, never reflects on reputation damage, willingly cuts corners"
F_COST_05,F,0.500,1,2,2,1,1,0,1,1,0,1,0,1,11,false,"Cost-Cutting Sacrificer: Sacrifices quality for cost savings, uses cheapest AI options without quality check, accepts poor outputs to save money, never reflects on reputation damage, willingly cuts corners"
F_DEPEND_01,F,0.550,2,2,1,0,0,1,1,2,0,1,1,3,14,false,"Dependency Denier: Over-relies on AI and loses own skills, unaware of personal capability atrophy, high trust due to lack of self-reflection, no awareness of growing dependency, at risk of sudden incompetence if AI unavailable"
F_DEPEND_02,F,0.550,2,2,1,0,0,1,1,2,0,1,1,3,14,false,"Dependency Denier: Over-relies on AI and loses own skills, unaware of personal capability atrophy, high trust due to lack of self-reflection, no awareness of growing dependency, at risk of sudden incompetence if AI unavailable"
F_DEPEND_03,F,0.550,2,2,1,0,0,1,1,2,0,1,1,3,14,false,"Dependency Denier: Over-relies on AI and loses own skills, unaware of personal capability atrophy, high trust due to lack of self-reflection, no awareness of growing dependency, at risk of sudden incompetence if AI unavailable"
F_DEPEND_04,F,0.550,2,2,1,0,0,1,1,2,0,1,1,3,14,false,"Dependency Denier: Over-relies on AI and loses own skills, unaware of personal capability atrophy, high trust due to lack of self-reflection, no awareness of growing dependency, at risk of sudden incompetence if AI unavailable"
F_DEPEND_05,F,0.550,2,2,1,0,0,1,1,2,0,1,1,3,14,false,"Dependency Denier: Over-relies on AI and loses own skills, unaware of personal capability atrophy, high trust due to lack of self-reflection, no awareness of growing dependency, at risk of sudden incompetence if AI unavailable"